id,name,zip_id/id
district_sv_140102,Bolívar,l10n_sv_base_location.zip_sv_1401_03105
district_sv_140103,Concepción de Oriente,l10n_sv_base_location.zip_sv_1401_03106
district_sv_140106,El Sauce,l10n_sv_base_location.zip_sv_1401_03109
district_sv_140109,Lislique,l10n_sv_base_location.zip_sv_1401_03112
district_sv_140111,Nueva Esparta,l10n_sv_base_location.zip_sv_1401_03114
district_sv_140112,Pasaquina,l10n_sv_base_location.zip_sv_1401_03116
district_sv_140113,Polorós,l10n_sv_base_location.zip_sv_1401_03117
district_sv_140115,San José La Fuente,l10n_sv_base_location.zip_sv_1401_03120
district_sv_140116,Santa Rosa de Lima,l10n_sv_base_location.zip_sv_1401_03121
district_sv_140204,Conchagua,l10n_sv_base_location.zip_sv_1402_03107
district_sv_140205,El Carmen,l10n_sv_base_location.zip_sv_1402_03108
district_sv_140207,Intipucá,l10n_sv_base_location.zip_sv_1402_03111
district_sv_140208,La Unión,l10n_sv_base_location.zip_sv_1402_03101
district_sv_140210,Meanguera del Golfo,l10n_sv_base_location.zip_sv_1402_03113
district_sv_140214,San Alejo,l10n_sv_base_location.zip_sv_1402_03119
district_sv_140217,Yayantique,l10n_sv_base_location.zip_sv_1402_03122
district_sv_140218,Yucuaiquín,l10n_sv_base_location.zip_sv_1402_03123
